n,n_w,p,kappa,noise_std,lambda,R_squared_ind,R_squared_sum
7500,200,5000,0.05,2.0,4.651818181818181,0.1599361524660982,1.5521247529237996
7500,200,5000,0.05,2.0,4.752727272727272,0.15999453416679998,1.5524767264735686
7500,200,5000,0.05,2.0,4.853636363636364,0.16005225559271066,1.5528247455338313
7500,200,5000,0.05,2.0,4.954545454545454,0.16010932688124174,1.5531688709910383
7500,200,5000,0.05,2.0,5.055454545454545,0.16016575796957155,1.5535091625174817
7500,200,5000,0.05,2.0,5.156363636363636,0.16022155859953208,1.5538456786013426
7500,200,5000,0.05,2.0,5.257272727272727,0.16027673832235262,1.5541784765758468
7500,200,5000,0.05,2.0,5.3581818181818175,0.16033130650326563,1.5545076126475517
7500,200,5000,0.05,2.0,5.459090909090909,0.16038527232597916,1.5548331419238093
7500,200,5000,0.05,2.0,5.56,0.16043864479702033,1.5551551184394192
7500,200,5000,0.05,2.0,5.66090909090909,0.16049143274995487,1.555473595182511
7500,200,5000,0.05,2.0,5.761818181818182,0.1605436448494857,1.5557886241196748
7500,200,5000,0.05,2.0,5.862727272727272,0.16059528959543562,1.5561002562203654
7500,200,5000,0.05,2.0,5.963636363636363,0.16064637532661774,1.5564085414806175
7500,200,5000,0.05,2.0,6.064545454545455,0.16069691022459656,1.5567135289460645
7500,200,5000,0.05,2.0,6.165454545454545,0.16074690231734462,1.557015266734329
7500,200,5000,0.05,2.0,6.266363636363636,0.16079635948279683,1.5573138020567603
7500,200,5000,0.05,2.0,6.367272727272727,0.16084528945230703,1.5576091812395723
7500,200,5000,0.05,2.0,6.468181818181818,0.16089369981400847,1.5579014497443853
7500,200,5000,0.05,2.0,6.569090909090908,0.1609415980160832,1.558190652188201
7500,200,5000,0.05,2.0,6.67,0.16098899136994124,1.5584768323628193
7500,200,5000,0.05,2.0,6.7709090909090905,0.16103588705331393,1.5587600332537217
7500,200,5000,0.05,2.0,6.871818181818181,0.16108229211326375,1.55904029705844
7500,200,5000,0.05,2.0,6.972727272727273,0.16112821346911263,1.5593176652044167
7500,200,5000,0.05,2.0,7.073636363636363,0.1611736579152924,1.55959217836639
7500,200,5000,0.05,2.0,7.174545454545454,0.1612186321241189,1.5598638764832942
7500,200,5000,0.05,2.0,7.275454545454545,0.16126314264849279,1.5601327987747267
7500,200,5000,0.05,2.0,7.376363636363636,0.1613071959245282,1.5603989837569485
7500,200,5000,0.05,2.0,7.477272727272727,0.1613507982741134,1.5606624692584798
7500,200,5000,0.05,2.0,7.578181818181818,0.16139395590740377,1.5609232924352683
7500,200,5000,0.05,2.0,7.679090909090909,0.16143667492524977,1.5611814897854617
7500,200,5000,0.05,2.0,7.779999999999999,0.16147896132156223,1.561437097163796
7500,200,5000,0.05,2.0,7.880909090909091,0.16152082098561607,1.5616901497955933
7500,200,5000,0.05,2.0,7.981818181818181,0.16156225970429539,1.561940682290413
7500,200,5000,0.05,2.0,8.082727272727272,0.1616032831642807,1.5621887286553346
7500,200,5000,0.05,2.0,8.183636363636364,0.1616438969541803,1.5624343223079058
7500,200,5000,0.05,2.0,8.284545454545453,0.16168410656660787,1.562677496088747
7500,200,5000,0.05,2.0,8.385454545454545,0.16172391740020758,1.5629182822738532
7500,200,5000,0.05,2.0,8.486363636363636,0.16176333476162774,1.563156712586559
7500,200,5000,0.05,2.0,8.587272727272726,0.16180236386744548,1.5633928182092167
7500,200,5000,0.05,2.0,8.688181818181818,0.16184100984604338,1.5636266297945702
7500,200,5000,0.05,2.0,8.789090909090909,0.1618792777394394,1.5638581774768467
7500,200,5000,0.05,2.0,8.889999999999999,0.1619171725050714,1.5640874908825735
7500,200,5000,0.05,2.0,8.99090909090909,0.16195469901753792,1.5643145991411154
7500,200,5000,0.05,2.0,9.091818181818182,0.16199186207029612,1.5645395308949628
7500,200,5000,0.05,2.0,9.192727272727272,0.16202866637731833,1.5647623143097555
7500,200,5000,0.05,2.0,9.293636363636365,0.16206511657470846,1.5649829770840633
7500,200,5000,0.05,2.0,9.394545454545456,0.1621012172222786,1.5652015464589324
7500,200,5000,0.05,2.0,9.495454545454544,0.16213697280508857,1.565418049227183
7500,200,5000,0.05,2.0,9.596363636363636,0.16217238773494755,1.5656325117425027
7500,200,5000,0.05,2.0,9.697272727272727,0.16220746635188046,1.5658449599282993
7500,200,5000,0.05,2.0,9.798181818181815,0.16224221292555888,1.5660554192863525
7500,200,5000,0.05,2.0,9.899090909090908,0.1622766316566983,1.566263914905258
7500,200,5000,0.05,2.0,10.0,0.16231072667842245,1.5664704714686597
7500,200,5000,0.05,3.0,0.01,0.08110125175212844,0.710485548782458
7500,200,5000,0.05,3.0,0.1109090909090909,0.08116064956833491,0.7108077970758571
7500,200,5000,0.05,3.0,0.2118181818181818,0.08121926285728566,0.7111254840303461
7500,200,5000,0.05,3.0,0.3127272727272727,0.08127710607825496,0.7114386972958444
7500,200,5000,0.05,3.0,0.4136363636363636,0.0813341933435842,0.711747522337002
7500,200,5000,0.05,3.0,0.5145454545454545,0.08139053842903467,0.7120520425011858
7500,200,5000,0.05,3.0,0.6154545454545455,0.08144615478376628,0.7123523390838952
7500,200,5000,0.05,3.0,0.7163636363636363,0.08150105553996291,0.7126484913917427
7500,200,5000,0.05,3.0,0.8172727272727273,0.08155525352211498,0.7129405768030926
7500,200,5000,0.05,3.0,0.9181818181818182,0.08160876125597598,0.7132286708264751
7500,200,5000,0.05,3.0,1.019090909090909,0.0816615909772054,0.7135128471568598
7500,200,5000,0.05,3.0,1.12,0.0817137546397115,0.713793177729887
7500,200,5000,0.05,3.0,1.220909090909091,0.08176526392370544,0.7140697327741444
7500,200,5000,0.05,3.0,1.3218181818181818,0.08181613024347896,0.7143425808615668
7500,200,5000,0.05,3.0,1.4227272727272726,0.08186636475491685,0.7146117889560428
7500,200,5000,0.05,3.0,1.5236363636363637,0.08191597836275398,0.7148774224603041
7500,200,5000,0.05,3.0,1.6245454545454543,0.08196498172758834,0.7151395452611627
7500,200,5000,0.05,3.0,1.7254545454545454,0.0820133852726583,0.7153982197731702
7500,200,5000,0.05,3.0,1.8263636363636364,0.08206119919039465,0.7156535069807622
7500,200,5000,0.05,3.0,1.9272727272727272,0.08210843344875515,0.7159054664789498
7500,200,5000,0.05,3.0,2.028181818181818,0.08215509779735071,0.7161541565126134
7500,200,5000,0.05,3.0,2.129090909090909,0.08220120177337098,0.716399634014462
7500,200,5000,0.05,3.0,2.2299999999999995,0.08224675470731695,0.7166419546417061
7500,200,5000,0.05,3.0,2.3309090909090906,0.08229176572854802,0.7168811728114945
7500,200,5000,0.05,3.0,2.4318181818181817,0.08233624377065071,0.717117341735171
7500,200,5000,0.05,3.0,2.5327272727272723,0.08238019757663541,0.7173505134513886
7500,200,5000,0.05,3.0,2.6336363636363638,0.08242363570396778,0.717580738858129
7500,200,5000,0.05,3.0,2.7345454545454544,0.08246656652944104,0.7178080677436748
7500,200,5000,0.05,3.0,2.835454545454545,0.08250899825389485,0.7180325488165669
7500,200,5000,0.05,3.0,2.936363636363636,0.08255093890678664,0.71825422973459
7500,200,5000,0.05,3.0,3.037272727272727,0.0825923963506204,0.718473157132822
7500,200,5000,0.05,3.0,3.1381818181818177,0.08263337828523867,0.7186893766507891
7500,200,5000,0.05,3.0,3.239090909090909,0.08267389225198231,0.7189029329587451
7500,200,5000,0.05,3.0,3.34,0.08271394563772273,0.7191138697831253
7500,200,5000,0.05,3.0,3.4409090909090905,0.0827535456787716,0.7193222299311937
7500,200,5000,0.05,3.0,3.541818181818181,0.08279269946467169,0.7195280553149183
7500,200,5000,0.05,3.0,3.6427272727272726,0.08283141394187397,0.7197313869741027
7500,200,5000,0.05,3.0,3.743636363636363,0.08286969591730406,0.7199322650987977
7500,200,5000,0.05,3.0,3.8445454545454543,0.08290755206182246,0.7201307290510248
7500,200,5000,0.05,3.0,3.945454545454545,0.08294498891358208,0.7203268173858313
7500,200,5000,0.05,3.0,4.046363636363636,0.08298201288128686,0.7205205678717043
7500,200,5000,0.05,3.0,4.147272727272727,0.08301863024735437,0.7207120175103637
7500,200,5000,0.05,3.0,4.248181818181818,0.08305484717098618,0.7209012025559602
7500,200,5000,0.05,3.0,4.349090909090909,0.08309066969114906,0.7210881585336961
7500,200,5000,0.05,3.0,4.449999999999999,0.08312610372946973,0.7212729202578881
7500,200,5000,0.05,3.0,4.550909090909091,0.0831611550930465,0.7214555218494977
7500,200,5000,0.05,3.0,4.651818181818181,0.08319582947718021,0.7216359967531393
7500,200,5000,0.05,3.0,4.752727272727272,0.08323013246802752,0.721814377753592
7500,200,5000,0.05,3.0,4.853636363636364,0.08326406954517891,0.7219906969918278
7500,200,5000,0.05,3.0,4.954545454545454,0.0832976460841638,0.7221649859805692
7500,200,5000,0.05,3.0,5.055454545454545,0.08333086735888552,0.7223372756194063
7500,200,5000,0.05,3.0,5.156363636363636,0.08336373854398807,0.7225075962094669
7500,200,5000,0.05,3.0,5.257272727272727,0.0833962647171571,0.7226759774676761
7500,200,5000,0.05,3.0,5.3581818181818175,0.0834284508613573,0.7228424485406031
7500,200,5000,0.05,3.0,5.459090909090909,0.08346030186700806,0.7230070380179183
7500,200,5000,0.05,3.0,5.56,0.08349182253409938,0.723169773945472
7500,200,5000,0.05,3.0,5.66090909090909,0.08352301757425015,0.7233306838379997
7500,200,5000,0.05,3.0,5.761818181818182,0.08355389161271065,0.7234897946914813
7500,200,5000,0.05,3.0,5.862727272727272,0.08358444919031058,0.7236471329951478
7500,200,5000,0.05,3.0,5.963636363636363,0.08361469476535482,0.7238027247431609
7500,200,5000,0.05,3.0,6.064545454545455,0.08364463271546867,0.7239565954459721
7500,200,5000,0.05,3.0,6.165454545454545,0.0836742673393933,0.7241087701413657
7500,200,5000,0.05,3.0,6.266363636363636,0.08370360285873413,0.724259273405203
7500,200,5000,0.05,3.0,6.367272727272727,0.08373264341966255,0.7244081293618754
7500,200,5000,0.05,3.0,6.468181818181818,0.0837613930945732,0.7245553616944761
7500,200,5000,0.05,3.0,6.569090909090908,0.08378985588369746,0.7247009936546935
7500,200,5000,0.05,3.0,6.67,0.08381803571667551,0.7248450480724469
7500,200,5000,0.05,3.0,6.7709090909090905,0.08384593645408674,0.724987547365256
7500,200,5000,0.05,3.0,6.871818181818181,0.08387356188894132,0.7251285135473733
7500,200,5000,0.05,3.0,6.972727272727273,0.08390091574813292,0.7252679682386644
7500,200,5000,0.05,3.0,7.073636363636363,0.08392800169385463,0.7254059326732639
7500,200,5000,0.05,3.0,7.174545454545454,0.08395482332497821,0.7255424277079976
7500,200,5000,0.05,3.0,7.275454545454545,0.08398138417839887,0.7256774738305911
7500,200,5000,0.05,3.0,7.376363636363636,0.08400768773034566,0.725811091167661
7500,200,5000,0.05,3.0,7.477272727272727,0.084033737397659,0.7259432994925037
7500,200,5000,0.05,3.0,7.578181818181818,0.08405953653903611,0.7260741182326809
7500,200,5000,0.05,3.0,7.679090909090909,0.08408508845624554,0.726203566477413
7500,200,5000,0.05,3.0,7.779999999999999,0.08411039639531112,0.7263316629847825
7500,200,5000,0.05,3.0,7.880909090909091,0.08413546354766695,0.7264584261887574
7500,200,5000,0.05,3.0,7.981818181818181,0.08416029305128367,0.7265838742060335
7500,200,5000,0.05,3.0,8.082727272727272,0.08418488799176731,0.726708024842708
7500,200,5000,0.05,3.0,8.183636363636364,0.08420925140343098,0.726830895600784
7500,200,5000,0.05,3.0,8.284545454545453,0.08423338627034067,0.7269525036845137
7500,200,5000,0.05,3.0,8.385454545454545,0.0842572955273356,0.7270728660065834
7500,200,5000,0.05,3.0,8.486363636363636,0.08428098206102382,0.7271919991941476
7500,200,5000,0.05,3.0,8.587272727272726,0.08430444871075411,0.7273099195947108
