n,n_w,p,rank,alpha,kappa,noise_std,lambda,R_squared_ind,R_squared_sum
7500,1000,5000,5,0.1,0.05,3.0,2.3309090909090906,0.07006783935363992,0.5945617559039096
7500,1000,5000,5,0.1,0.05,3.0,2.4318181818181817,0.07038405350003893,0.5951668112595403
7500,1000,5000,5,0.1,0.05,3.0,2.5327272727272723,0.07068717015170403,0.595727299379129
7500,1000,5000,5,0.1,0.05,3.0,2.6336363636363638,0.07097796652030702,0.5962467482452039
7500,1000,5000,5,0.1,0.05,3.0,2.7345454545454544,0.07125715857565978,0.5967283457526686
7500,1000,5000,5,0.1,0.05,3.0,2.835454545454545,0.07152540712473328,0.5971749790989549
7500,1000,5000,5,0.1,0.05,3.0,2.936363636363636,0.07178332315977172,0.5975892688311608
7500,1000,5000,5,0.1,0.05,3.0,3.037272727272727,0.07203147257877389,0.5979735983797169
7500,1000,5000,5,0.1,0.05,3.0,3.1381818181818177,0.07227038036487114,0.5983301397634172
7500,1000,5000,5,0.1,0.05,3.0,3.239090909090909,0.07250053429744405,0.5986608760338952
7500,1000,5000,5,0.1,0.05,3.0,3.34,0.07272238825657049,0.5989676209328921
7500,1000,5000,5,0.1,0.05,3.0,3.4409090909090905,0.07293636517310467,0.5992520361584454
7500,1000,5000,5,0.1,0.05,3.0,3.541818181818181,0.0731428596689703,0.599515646572842
7500,1000,5000,5,0.1,0.05,3.0,3.6427272727272726,0.0733422404258195,0.5997598536331001
7500,1000,5000,5,0.1,0.05,3.0,3.743636363636363,0.07353485231482088,0.5999859472816947
7500,1000,5000,5,0.1,0.05,3.0,3.8445454545454543,0.07372101831580856,0.6001951164994982
7500,1000,5000,5,0.1,0.05,3.0,3.945454545454545,0.07390104125019917,0.6003884586931287
7500,1000,5000,5,0.1,0.05,3.0,4.046363636363636,0.07407520534884282,0.6005669880639768
7500,1000,5000,5,0.1,0.05,3.0,4.147272727272727,0.07424377767321622,0.6007316430852623
7500,1000,5000,5,0.1,0.05,3.0,4.248181818181818,0.07440700940601491,0.600883293195847
7500,1000,5000,5,0.1,0.05,3.0,4.349090909090909,0.07456513702518633,0.6010227448046263
7500,1000,5000,5,0.1,0.05,3.0,4.449999999999999,0.07471838337371778,0.6011507466866879
7500,1000,5000,5,0.1,0.05,3.0,4.550909090909091,0.07486695863600182,0.6012679948416739
7500,1000,5000,5,0.1,0.05,3.0,4.651818181818181,0.07501106123031673,0.6013751368756128
7500,1000,5000,5,0.1,0.05,3.0,4.752727272727272,0.07515087862584338,0.6014727759596384
7500,1000,5000,5,0.1,0.05,3.0,4.853636363636364,0.07528658809167374,0.6015614744122827
7500,1000,5000,5,0.1,0.05,3.0,4.954545454545454,0.07541835738442179,0.6016417569462353
7500,1000,5000,5,0.1,0.05,3.0,5.055454545454545,0.07554634538031413,0.6017141136154687
7500,1000,5000,5,0.1,0.05,3.0,5.156363636363636,0.07567070265699202,0.6017790024943098
7500,1000,5000,5,0.1,0.05,3.0,5.257272727272727,0.07579157202969464,0.6018368521162979
7500,1000,5000,5,0.1,0.05,3.0,5.3581818181818175,0.07590908904599535,0.6018880636974147
7500,1000,5000,5,0.1,0.05,3.0,5.459090909090909,0.07602338244282919,0.6019330131654466
7500,1000,5000,5,0.1,0.05,3.0,5.56,0.07613457456916128,0.6019720530147744
7500,1000,5000,5,0.1,0.05,3.0,5.66090909090909,0.07624278177730862,0.6020055140037142
7500,1000,5000,5,0.1,0.05,3.0,5.761818181818182,0.07634811478562371,0.6020337067096617
7500,1000,5000,5,0.1,0.05,3.0,5.862727272727272,0.07645067901498262,0.6020569229556225
7500,1000,5000,5,0.1,0.05,3.0,5.963636363636363,0.07655057490128078,0.6020754371202501
7500,1000,5000,5,0.1,0.05,3.0,6.064545454545455,0.07664789818592918,0.6020895073422381
7500,1000,5000,5,0.1,0.05,3.0,6.165454545454545,0.07674274018615433,0.6020993766287739
7500,1000,5000,5,0.1,0.05,3.0,6.266363636363636,0.07683518804673557,0.6021052738767565
7500,1000,5000,5,0.1,0.05,3.0,6.367272727272727,0.07692532497466462,0.6021074148146004
7500,1000,5000,5,0.1,0.05,3.0,6.468181818181818,0.07701323045807394,0.6021060028716516
7500,1000,5000,5,0.1,0.05,3.0,6.569090909090908,0.07709898047066178,0.6021012299815557
7500,1000,5000,5,0.1,0.05,3.0,6.67,0.07718264766273088,0.6020932773252765
7500,1000,5000,5,0.1,0.05,3.0,6.7709090909090905,0.07726430153985966,0.602082316018934
7500,1000,5000,5,0.1,0.05,3.0,6.871818181818181,0.07734400863013773,0.602068507751111
7500,1000,5000,5,0.1,0.05,3.0,6.972727272727273,0.0774218326408154,0.6020520053738546
7500,1000,5000,5,0.1,0.05,3.0,7.073636363636363,0.07749783460514652,0.602032953451195
7500,1000,5000,5,0.1,0.05,3.0,7.174545454545454,0.0775720730201375,0.6020114887686462
7500,1000,5000,5,0.1,0.05,3.0,7.275454545454545,0.07764460397585712,0.6019877408068499
