n,n_w,p,df,kappa,noise_std,lambda,R_squared_ind,R_squared_sum
7500,1000,5000,3.0,0.05,2.0,9.596363636363636,0.0340881288041737,2.0149627657455698
7500,1000,5000,3.0,0.05,2.0,9.697272727272727,0.03408584032715388,2.0148988698159975
7500,1000,5000,3.0,0.05,2.0,9.798181818181815,0.034083608147823616,2.0148333337251767
7500,1000,5000,3.0,0.05,2.0,9.899090909090908,0.034081431395287555,2.01476623162318
7500,1000,5000,3.0,0.05,2.0,10.0,0.034079309202707755,2.0146976345856116
7500,1000,5000,3.0,0.05,3.0,0.01,0.01960424163558413,1.5302918072357121
7500,1000,5000,3.0,0.05,3.0,0.1109090909090909,0.020671548246079804,1.5443721416314427
7500,1000,5000,3.0,0.05,3.0,0.2118181818181818,0.021390358125126067,1.5520473190565527
7500,1000,5000,3.0,0.05,3.0,0.3127272727272727,0.021920349620685918,1.5567176423599158
7500,1000,5000,3.0,0.05,3.0,0.4136363636363636,0.02233153693167293,1.5597646630021536
7500,1000,5000,3.0,0.05,3.0,0.5145454545454545,0.022661393929483804,1.5618619594991858
7500,1000,5000,3.0,0.05,3.0,0.6154545454545455,0.022932418159405617,1.563373047432534
7500,1000,5000,3.0,0.05,3.0,0.7163636363636363,0.02315918357663686,1.5645077690603384
7500,1000,5000,3.0,0.05,3.0,0.8172727272727273,0.023351660607119747,1.5653933193937102
7500,1000,5000,3.0,0.05,3.0,0.9181818181818182,0.023516956946813335,1.5661097309212164
7500,1000,5000,3.0,0.05,3.0,1.019090909090909,0.023660305337757197,1.5667088704461813
7500,1000,5000,3.0,0.05,3.0,1.12,0.023785659219157186,1.5672251638315453
7500,1000,5000,3.0,0.05,3.0,1.220909090909091,0.023896069755681433,1.567681913099681
7500,1000,5000,3.0,0.05,3.0,1.3218181818181818,0.02399393411324894,1.568095149178331
7500,1000,5000,3.0,0.05,3.0,1.4227272727272726,0.02408116441639221,1.5684760511472629
7500,1000,5000,3.0,0.05,3.0,1.5236363636363637,0.02415930596343579,1.5688325034231325
7500,1000,5000,3.0,0.05,3.0,1.6245454545454543,0.02422962192393029,1.5691701195989558
7500,1000,5000,3.0,0.05,3.0,1.7254545454545454,0.02429315527801858,1.5694929281161618
7500,1000,5000,3.0,0.05,3.0,1.8263636363636364,0.024350774929748208,1.569803838883447
7500,1000,5000,3.0,0.05,3.0,1.9272727272727272,0.024403210582230914,1.5701049653051018
7500,1000,5000,3.0,0.05,3.0,2.028181818181818,0.02445107948387984,1.5703978492674613
7500,1000,5000,3.0,0.05,3.0,2.129090909090909,0.02449490719751517,1.5706836200250403
7500,1000,5000,3.0,0.05,3.0,2.2299999999999995,0.02453514390961643,1.570963107464325
7500,1000,5000,3.0,0.05,3.0,2.3309090909090906,0.024572177367667238,1.5712369235056032
7500,1000,5000,3.0,0.05,3.0,2.4318181818181817,0.02460634323755995,1.5715055210169202
7500,1000,5000,3.0,0.05,3.0,2.5327272727272723,0.024637933465506745,1.5717692367057883
7500,1000,5000,3.0,0.05,3.0,2.6336363636363638,0.02466720308116025,1.5720283224988378
7500,1000,5000,3.0,0.05,3.0,2.7345454545454544,0.024694375771978878,1.5722829685877397
7500,1000,5000,3.0,0.05,3.0,2.835454545454545,0.024719648480872734,1.5725333204021823
7500,1000,5000,3.0,0.05,3.0,2.936363636363636,0.02474319522145611,1.5727794911316562
7500,1000,5000,3.0,0.05,3.0,3.037272727272727,0.02476517026207033,1.5730215709683226
